Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,21026.16709,20911.19277,21375.26912,22050.58987,24105.52412,24978.22167,25832.92556,27665.29948,29011.63906,25740.77023,24452.58874,26043.15633,25611.17577,26514.86898,26940.26411,28419.26453,28449.71295,29329.08175,30918.48358,31902.80982,24008.12782,29127.75938,33300.83882
Africa Eastern and Southern,710.665706,631.5956953,631.9282817,818.1219214,991.192169,1126.375948,1232.423412,1376.638778,1435.808451,1420.293773,1656.366272,1806.768778,1773.651568,1736.849038,1725.332959,1554.167299,1444.003514,1625.286236,1558.307482,1507.982881,1355.805923,1545.613215,1644.062829
Afghanistan,498.70831954599714,427.302284904764,182.1740366,199.6432279,221.8305307,254.1152743,274.0153943,376.3182964,382.5338038,453.3873821,562.4992194,608.7388559,653.4174791,638.7331848,626.5129305,566.8811327,523.0530121,526.1408013,492.0906323,497.7414293,512.0550982,355.7778264,573.1909471976644
Africa Western and Central,519.7573953,532.2725758,619.7126518,697.8512357,841.2973523,1000.793722,1243.173889,1421.272934,1685.556069,1467.615875,1679.88783,1861.381068,1957.917784,2154.150832,2248.316255,1882.264038,1648.762676,1590.277754,1735.374911,1812.446822,1688.075575,1766.943618,1785.312219
Angola,556.8842435,527.4641184,872.657638,982.8055897,1254.696126,1900.723816,2597.963585,3121.348735,4081.717497,3123.698898,3586.66368,4608.155166,5083.826851,5061.34924,5011.984412,3217.339244,1809.709377,2439.374441,2540.508878,2191.347764,1450.905112,1927.474078,3000.444231
Albania,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5287.660801,5396.214243,5343.037704,6377.203096,6810.114041
Andorra,21620.4651,22809.08776,24784.95609,31954.16179,37630.76426,39583.93119,43084.28372,50562.82661,53721.38851,49750.71855,48237.89054,51428.1897,44902.38771,44747.76116,45680.54694,38885.54859,39931.23626,40632.20898,42904.81159,41328.61239,37207.23887,42072.31942,41992.77278
Arab World,2858.484294,2736.600319,2694.219561,2916.795659,3394.097292,4070.894775,4704.005067,5329.579921,6531.525136,5587.915661,6437.734497,6894.816127,7368.698896,7352.085717,7306.051166,6287.314935,6117.871507,6230.762079,6579.417105,6504.789633,5644.14257,6419.161029,7625.252464
United Arab Emirates,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,35392.26097,42078.61381,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44332.34005,53707.98008
Argentina,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.73915,13082.66433,13080.25473,12334.79825,13789.06042,12790.26414,14613.03565,11795.16275,9963.674162,8500.837939,10650.86046,13650.60463
Armenia,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163408,2109.526384,3064.279963,3908.94906,2917.366242,3143.02948,3462.681778,3643.715401,3833.157074,4017.229914,3666.141822,3679.952347,4041.995071,4391.92327,4828.504886,4505.867742,4972.783204,7018.051504
American Samoa,7618.4397797945585,8458.26344527225,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15609.77722,16653.71378,19673.3901
Antigua and Barbuda,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,14774.03218,15136.84111,14977.07183,15451.49524,15985.54114,16449.05915,16803.87023,18133.8226,18730.0048,15224.85859,17178.54372,19919.72669
Australia,21870.41597,19695.72974,20301.84317,23718.13385,30836.73068,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52147.02419,62609.66072,68078.04423,68198.41934,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65099.84591
Austria,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51466.55656,50067.58573,48789.49785,53517.89045,52084.6812
Azerbaijan,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7762.073829
Burundi,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.188541,166.2762452,170.7068765,194.7106346,204.5447556,222.6605832,236.4513475,238.2059453,241.5476657,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709,216.8274175,221.1578034,259.0250314
Belgium,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47544.98115,46641.7214,45609.00349,51850.39718,49926.82543
